Series_Title,Released_Year,IMDB_Rating,Genre,Overview,Actors
Interstellar,2014,8.4,"Adventure, Drama, Science Fiction",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"Matthew McConaughey, Joseph ""Coop"" Cooper, Anne Hathaway, Dr. Amelia Brand, Jessica Chastain, Murphy ""Murph"" Cooper, Bill Irwin, TARS (voice), Ellen Burstyn, Old Murph, Michael Caine, Professor John Brand, Mackenzie Foy, Young Murph, Casey Affleck, Tom Cooper, John Lithgow, Donald"
Coraline,2009,7.8,"Animation, Family, Fantasy","A young girl discovers an idealized parallel universe behind a secret door in her new home, unaware that it contains a sinister secret.","Dakota Fanning, Coraline Jones (voice), Teri Hatcher, Mel Jones / Other Mother (voice), Keith David, Cat (voice), Jennifer Saunders, April Spink (voice), Ian McShane, Mr. Sergei Alexander Bobinsky / Other Bobinsky (voice), Dawn French, Miriam Forcible (voice), John Hodgman, Charlie Jones / Other Father (voice), Robert Bailey Jr., Wyborne ""Wybie"" Lovat (voice), Aankha Neal, Sweet Ghost Girl (voice)"
Harry Potter and the Goblet of Fire,2005,7.8,"Adventure, Fantasy, Family","When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.","Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Brendan Gleeson, Alastor ""Mad-Eye"" Moody, Robbie Coltrane, Rubeus Hagrid, Robert Pattinson, Cedric Diggory, Michael Gambon, Albus Dumbledore, David Tennant, Barty Crouch Junior, Miranda Richardson, Rita Skeeter"
Harry Potter and the Half-Blood Prince,2009,7.7,"Adventure, Fantasy","As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.","Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Michael Gambon, Albus Dumbledore, Tom Felton, Draco Malfoy, Jim Broadbent, Horace Slughorn, Robbie Coltrane, Rubeus Hagrid, Alan Rickman, Severus Snape, Maggie Smith, Minerva McGonagall"
The Avengers,2012,7.7,"Science Fiction, Action, Adventure","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","Robert Downey Jr., Tony Stark / Iron Man, Chris Evans, Steve Rogers / Captain America, Mark Ruffalo, Bruce Banner / The Hulk, Chris Hemsworth, Thor Odinson, Scarlett Johansson, Natasha Romanoff / Black Widow, Jeremy Renner, Clint Barton / Hawkeye, Tom Hiddleston, Loki, Samuel L. Jackson, Nick Fury, Cobie Smulders, Maria Hill"
The Avengers,2012,7.7,"Science Fiction, Action, Adventure","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","Robert Downey Jr., Tony Stark / Iron Man, Chris Evans, Steve Rogers / Captain America, Mark Ruffalo, Bruce Banner / The Hulk, Chris Hemsworth, Thor Odinson, Scarlett Johansson, Natasha Romanoff / Black Widow, Jeremy Renner, Clint Barton / Hawkeye, Tom Hiddleston, Loki, Samuel L. Jackson, Nick Fury, Cobie Smulders, Maria Hill"
The Little Mermaid,2023,0.0,"Adventure, Family, Fantasy, Romance","The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.","Halle Bailey, Ariel, Jonah Hauer-King, Prince Eric, Daveed Diggs, Sebastian (voice), Awkwafina, Scuttle (voice), Jacob Tremblay, Flounder (voice), Noma Dumezweni, Queen Selina, Javier Bardem, King Triton, Melissa McCarthy, Ursula, Art Malik, Sir Grimsby"
The Wolf of Wall Street,2014,8.0,"Crime, Drama, Comedy","A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.","Leonardo DiCaprio, Jordan Belfort, Jonah Hill, Donnie Azoff, Margot Robbie, Naomi Lapaglia, Matthew McConaughey, Mark Hanna, Kyle Chandler, FBI Agent Patrick Denham, Rob Reiner, Max Belfort, Jon Favreau, Manny Riskin, Jean Dujardin, Jean-Jacques Handali, Jon Bernthal, Brad Bodnick"
Harry Potter and the Prisoner of Azkaban,2004,8.0,"Adventure, Fantasy","Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.","Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Robbie Coltrane, Rubeus Hagrid, Michael Gambon, Albus Dumbledore, Gary Oldman, Sirius Black, Alan Rickman, Severus Snape, Timothy Spall, Peter Pettigrew, David Thewlis, Remus Lupin"
Avengers: Endgame,2019,8.3,"Adventure, Science Fiction, Action","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.","Robert Downey Jr., Tony Stark / Iron Man, Chris Evans, Steve Rogers / Captain America, Mark Ruffalo, Bruce Banner / Hulk, Chris Hemsworth, Thor Odinson, Scarlett Johansson, Natasha Romanoff / Black Widow, Jeremy Renner, Clint Barton / Hawkeye, Don Cheadle, James Rhodes / War Machine, Paul Rudd, Scott Lang / Ant-Man, Benedict Cumberbatch, Stephen Strange / Doctor Strange"
Ben-Hur,1960,7.9,"Action, Drama, History","In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.  Three years later and freed by a grateful Roman galley commander whom he has rescued from drowning, he becomes an expert charioteer for Rome, all the while plotting to return to Judea, find and rescue his family, and avenge himself on his former friend.  All the while, the form and work of Jesus move in the background of his life...","Charlton Heston, Judah Ben-Hur, Haya Harareet, Esther, Stephen Boyd, Messala, Martha Scott, Miriam, Cathy O'Donnell, Tirzah, Jack Hawkins, Quintus Arrius, Sam Jaffe, Simonides, Hugh Griffith, Scheich Ildirim, Finlay Currie, Balthasar"
Ben-Hur,1960,7.9,"Action, Drama, History","In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.  Three years later and freed by a grateful Roman galley commander whom he has rescued from drowning, he becomes an expert charioteer for Rome, all the while plotting to return to Judea, find and rescue his family, and avenge himself on his former friend.  All the while, the form and work of Jesus move in the background of his life...","Charlton Heston, Judah Ben-Hur, Haya Harareet, Esther, Stephen Boyd, Messala, Martha Scott, Miriam, Cathy O'Donnell, Tirzah, Jack Hawkins, Quintus Arrius, Sam Jaffe, Simonides, Hugh Griffith, Scheich Ildirim, Finlay Currie, Balthasar"
Tangled,2011,7.6,"Animation, Family","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","Mandy Moore, Rapunzel (voice), Zachary Levi, Flynn Rider (voice), Donna Murphy, Mother Gothel (voice), Ron Perlman, Stabbington Brother (voice), M.C. Gainey, Captain of the Guard (voice), Jeffrey Tambor, Big Nose Thug (voice), Brad Garrett, Hook Hand Thug (voice), Paul F. Tompkins, Short Thug (voice), Richard Kiel, Vlad (voice)"
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"Fantasy, Adventure","Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.","Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Ralph Fiennes, Lord Voldemort, Alan Rickman, Severus Snape, Helena Bonham Carter, Bellatrix Lestrange, Maggie Smith, Minerva McGonagall, Michael Gambon, Albus Dumbledore, John Hurt, Ollivander"
The Help,2011,8.2,Drama,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.","Emma Stone, Eugenia ""Skeeter"" Phelan, Viola Davis, Aibileen Clark, Octavia Spencer, Minny Jackson, Bryce Dallas Howard, Hilly Holbrook, Jessica Chastain, Celia Foote, Anna Camp, Jolene French, Ahna O'Reilly, Elizabeth Leefolt, Allison Janney, Charlotte Phelan, Mary Steenburgen, Elain Stein"
"Monsters, Inc.",2001,7.8,"Animation, Comedy, Family","James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.","John Goodman, Sullivan (voice), Billy Crystal, Mike (voice), Mary Gibbs, Boo (voice), Steve Buscemi, Randall (voice), James Coburn, Waternoose (voice), Jennifer Tilly, Celia (voice), Bob Peterson, Roz (voice), John Ratzenberger, Yeti (voice), Frank Oz, Jeff Fungus (voice)"
Spider-Man: Into the Spider-Verse,2018,8.4,"Action, Adventure, Animation, Science Fiction","Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.","Shameik Moore, Miles Morales / Spider-Man (voice), Jake Johnson, Peter B. Parker / Spider-Man (voice), Hailee Steinfeld, Gwen Stacy / Spider-Woman (voice), Mahershala Ali, Uncle Aaron / Prowler (voice), Brian Tyree Henry, Jefferson Davis (voice), Lily Tomlin, Aunt May (voice), Luna Lauren Velez, Rio Morales (voice), Zoë Kravitz, Mary Jane (voice), John Mulaney, Peter Porker / Spider-Ham (voice)"
Harry Potter and the Deathly Hallows: Part 1,2010,7.8,"Adventure, Fantasy","Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.","Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Helena Bonham Carter, Bellatrix Lestrange, Robbie Coltrane, Rubeus Hagrid, Ralph Fiennes, Lord Voldemort, Michael Gambon, Albus Dumbledore, Bill Nighy, Rufus Scrimgeour, Brendan Gleeson, Alastor ""Mad-Eye"" Moody"
Control,2022,5.4,"Science Fiction, Thriller, Mystery",A young mother awakens in a mysterious cell and is forced to harness her telekinetic abilities in order to escape and save her daughter.,"Sara Mitich, Eileen, George Tchortov, Roger, Evie Loiselle, Eve, Karen LeBlanc, The Administrator"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,7.8,"Adventure, Fantasy, Action","Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.","Johnny Depp, Jack Sparrow, Orlando Bloom, Will Turner, Keira Knightley, Elizabeth Swann, Geoffrey Rush, Hector Barbossa, Jack Davenport, James Norrington, Jonathan Pryce, Weatherby Swann, Lee Arenberg, Pintel, Mackenzie Crook, Ragetti, Damian O'Hare, Gillette"
Coco,2017,8.2,"Family, Animation, Fantasy, Music, Comedy, Adventure","Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.","Anthony Gonzalez, Miguel Rivera (voice), Gael García Bernal, Héctor (voice), Benjamin Bratt, Ernesto de la Cruz (voice), Alanna Ubach, Mamá Imelda Rivera (voice), Renée Victor, Elena Rivera (voice), Jaime Camil, Papá Enrique Rivera (voice), Alfonso Arau, Papá Julio Rivera (voice), Herbert Siguenza, Tío Oscar Rivera / Tío Felipe Rivera (voice), Lombardo Boyar, Mariachi / Gustavo (voice)"
Toy Story,1995,8.0,"Animation, Adventure, Family, Comedy","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","Tom Hanks, Woody (voice), Tim Allen, Buzz Lightyear (voice), Don Rickles, Mr. Potato Head (voice), Jim Varney, Slinky Dog (voice), Wallace Shawn, Rex (voice), John Ratzenberger, Hamm (voice), Annie Potts, Bo Peep (voice), John Morris, Andy (voice), Erik von Detten, Sid (voice)"
Titanic,1997,7.9,"Drama, Romance","101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.","Leonardo DiCaprio, Jack Dawson, Kate Winslet, Rose DeWitt Bukater, Billy Zane, Cal Hockley, Kathy Bates, Molly Brown, Frances Fisher, Ruth DeWitt Bukater, Gloria Stuart, Old Rose, Victor Garber, Thomas Andrews, Bill Paxton, Brock Lovett, Bernard Hill, Edward Smith"
The Lion King,1994,8.3,"Family, Animation, Drama","A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?","Matthew Broderick, Simba (voice), James Earl Jones, King Mufasa (voice), Jeremy Irons, Scar (voice), Rowan Atkinson, Zazu the Hornbill (voice), Moira Kelly, Nala (voice), Whoopi Goldberg, Shenzi the Hyena (voice), Cheech Marin, Banzai the Hyena (voice), Jim Cummings, ED the Hyena (voice) / Scar (singing voice), Robert Guillaume, Rafiki (voice)"
The Lion King,1994,8.3,"Family, Animation, Drama","A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?","Matthew Broderick, Simba (voice), James Earl Jones, King Mufasa (voice), Jeremy Irons, Scar (voice), Rowan Atkinson, Zazu the Hornbill (voice), Moira Kelly, Nala (voice), Whoopi Goldberg, Shenzi the Hyena (voice), Cheech Marin, Banzai the Hyena (voice), Jim Cummings, ED the Hyena (voice) / Scar (singing voice), Robert Guillaume, Rafiki (voice)"
The Little Mermaid,1990,7.3,"Animation, Family, Fantasy",This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,"Jodi Benson, Ariel/Vanessa (voice), Samuel E. Wright, Sebastian (voice), Pat Carroll, Ursula (voice), Christopher Daniel Barnes, Prince Eric (voice), Kenneth Mars, King Triton (voice), Buddy Hackett, Scuttle (voice), Jason Marin, Flounder (voice), René Auberjonois, Louis (voice), Paddi Edwards, Flotsam & Jetsam (voice)"
Zootopia,2016,7.7,"Animation, Adventure, Family, Comedy","Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.","Jason Bateman, Nick Wilde (voice), Ginnifer Goodwin, Judy Hopps (voice), Idris Elba, Chief Bogo (voice), Jenny Slate, Assistant Mayor Dawn Bellwether (voice), Nate Torrence, Officer Benjamin Clawhauser (voice), Bonnie Hunt, Bonnie Hopps (voice), Don Lake, Stu Hopps (voice), Tommy Chong, Yax (voice), J.K. Simmons, Mayor Leodore Lionheart (voice)"
Thor: Ragnarok,2017,7.6,"Action, Adventure, Fantasy, Science Fiction, Comedy","Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.","Chris Hemsworth, Thor Odinson, Tom Hiddleston, Loki, Cate Blanchett, Hela, Tessa Thompson, Scrapper 142 / Valkyrie, Jeff Goldblum, En Dwi Gast / Grandmaster, Idris Elba, Heimdall, Karl Urban, Skurge / Executioner, Mark Ruffalo, Bruce Banner / Hulk, Anthony Hopkins, Odin"
Ratatouille,2007,7.8,"Animation, Comedy, Family, Fantasy","Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.","Patton Oswalt, Remy (voice), Ian Holm, Skinner (voice), Lou Romano, Linguini (voice), Brian Dennehy, Django (voice), Peter Sohn, Emile (voice), Peter O'Toole, Anton Ego (voice), Brad Garrett, Auguste Gusteau (voice), Janeane Garofalo, Colette (voice), Will Arnett, Horst (voice)"
Deadpool,2016,7.6,"Action, Adventure, Comedy","The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.","Ryan Reynolds, Wade Wilson / Deadpool, Morena Baccarin, Vanessa, Ed Skrein, Ajax, T.J. Miller, Weasel, Gina Carano, Angel Dust, Leslie Uggams, Blind Al, Brianna Hildebrand, Negasonic Teenage Warhead, Karan Soni, Dopinder, Jed Rees, Recruiter"
The Godfather,1972,8.7,"Drama, Crime","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","Marlon Brando, Vito Corleone, Al Pacino, Michael Corleone, James Caan, Sonny Corleone, Richard S. Castellano, Peter Clemenza, Robert Duvall, Tom Hagen, Sterling Hayden, Captain McCluskey, John Marley, Jack Woltz, Richard Conte, Emilio Barzini, Diane Keaton, Kay Adams-Corleone"
Mulan,1998,7.9,"Animation, Family, Adventure","To save her father from certain death in the army, a young woman secretly enlists in his place and becomes one of China's greatest heroines in the process.","Ming-Na Wen, Mulan (voice), Eddie Murphy, Mushu (voice), BD Wong, Shang (voice), Miguel Ferrer, Shan-Yu (voice), Harvey Fierstein, Yao (voice), Freda Foh Shen, Fa Li (voice), June Foray, Grandmother Fa (voice), James Hong, Chi Fu (voice), Miriam Margolyes, The Matchmaker (voice)"
Mulan,1998,7.9,"Animation, Family, Adventure","To save her father from certain death in the army, a young woman secretly enlists in his place and becomes one of China's greatest heroines in the process.","Ming-Na Wen, Mulan (voice), Eddie Murphy, Mushu (voice), BD Wong, Shang (voice), Miguel Ferrer, Shan-Yu (voice), Harvey Fierstein, Yao (voice), Freda Foh Shen, Fa Li (voice), June Foray, Grandmother Fa (voice), James Hong, Chi Fu (voice), Miriam Margolyes, The Matchmaker (voice)"
Big Hero 6,2014,7.7,"Adventure, Family, Animation, Action, Comedy","A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.","Scott Adsit, Baymax (voice), Ryan Potter, Hiro Hamada (voice), Daniel Henney, Tadashi Hamada (voice), T.J. Miller, Fred (voice), Jamie Chung, GoGo Tomago (voice), Damon Wayans Jr., Wasabi (voice), Génesis Rodríguez, Honey Lemon (voice), James Cromwell, Professor Robert Callaghan (voice), Alan Tudyk, Alistair Krei (voice)"
Inside Out,2015,7.9,"Animation, Family, Adventure, Drama, Comedy","Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.","Amy Poehler, Joy (voice), Phyllis Smith, Sadness (voice), Bill Hader, Fear (voice), Kaitlyn Dias, Riley (voice), Richard Kind, Bing Bong (voice), Lewis Black, Anger (voice), Mindy Kaling, Disgust (voice), Diane Lane, Mom (voice), Kyle MacLachlan, Dad (voice)"
